slug,name,tagline,image_url,tags,published_date,phase,lnc_score,lnc_slug
near-horizon,NEAR Horizon,"An early stage accelerator empowering Web3 founders to build, connect, and grow",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/NEAR-Horizon.jpg,"Ecosystem Support, Accelerator, BOS",1723339236,mainnet,,
questflow,Questflow,"The orchestration layer for the multi-agent economy.
Orchestrate multiple AI agents to take action on autopilot & dispatch real-world incentives on-chain.",https://indexer.nearcatalog.org/wp-content/uploads/2024/11/Questflow.jpg,"Dapp, AI",1726330724,mainnet,,
rss3-2,RSS3 🟦,"The Open Information Layer - An Environment for (truly) Open AI, Open Search, and Open Social. Building for #openinformation & #openweb",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/RSS3-🟦.jpg,"Infrastructure, AI, Data Availability",1724090128,mainnet,,
wormhole,Wormhole,Interoperability protocol powering the seamless transfer of value and information across 12 high value chains.,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Wormhole.jpg,Utilities,1700812949,mainnet,,
request-finance,Request Finance,"Crypto invoicing & bill payment, Crypto payroll & expenses.",https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/request-finance.jpg,"Utilities, Payment",1700812953,mainnet,,
near-tinker-union,NEAR Tinker Union,"A union of 3,333 tinkers has formed to tink extraordinary things for the growing ecosystem ",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/NEAR-Tinker-Union.jpg,"Dapp, NFT",1723339237,mainnet,,
near-blocks,Near Blocks,NEAR Blocks is the leading blockchain explorer dedicated to the NEAR ecosystem.,https://indexer.nearcatalog.org/wp-content/uploads/2024/11/Near-Blocks.jpg,"Infrastructure, Analytics, Developer Tooling, Explorer, Indexer, Service Provider",1700812945,mainnet,5827,nearblocks
dapdap,DapDap,Your Universal Gateway into Ethereum L2s.,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/DapDap.jpg,"Dapp, EVM, BOS, DeFi",1723339236,mainnet,,
ringfence,Ringfence,"The data monetization protocol for AI, enabling users to collect, protect, and sell their data for the training of AI models and AI agents.",https://indexer.nearcatalog.org/wp-content/uploads/2024/10/Ringfence.jpg,"Infrastructure, AI, Data Availability",1719744188,still building,,
lnc-watch-bot,LNC Watch Bot,Learn how to use and build on NEAR and Earn NEAR. ,https://indexer.nearcatalog.org/wp-content/uploads/2024/10/LNC-Watch-Bot.jpg,"Utilities, Analytics, Bot",1723339240,mainnet,,
trisolaris,TriSolaris,"Trisolaris is #1 Dex on the Aurora engine, an EVM compatible blockchain running in the near ecosystem. ",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/TriSolaris.jpg,"Dapp, Aurora, DeFi, DEX",1700812920,mainnet,,
forefront-tak,Forefront Tak,"Providing Near Blockchain analytics with open and free dashboards, BOS components, and insights.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Forefront-Tak.jpg,"Infrastructure, Analytics",1723339234,mainnet,,
ncaptcha,nCaptcha,web3 way to fight spam,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/nCaptcha.jpg,"Utilities, Productivity Tool",1723339190,mainnet,,
backdrop-build-2,Backdrop Build,"Powering builder energy ⚡️ Where builders shape the frontier of tech, together.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Backdrop-Build.jpg,"Ecosystem Support, Developer Support",1724089214,mainnet,,
aaxxii,AAXXII,"AAXXII is your digital finance partner for scaling, funding, and expert advice in both traditional and token economies, raising £250k to £20m.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/AAXXII.jpg,"Ecosystem Support, Accelerator",1723339178,mainnet,,
hito-wallet,Hito Wallet,Sleek easy-to-use open source wallet.,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Hito-Wallet.jpg,"Infrastructure, Wallet",1723339177,mainnet,,
rabby-wallet-2,Rabby Wallet,The game-changing wallet for Ethereum and all EVM chains.,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Rabby-Wallet.jpg,"Infrastructure, EVM, Wallet",1723339177,mainnet,,
sharddog,ShardDog,Connecting KeyPom to REST APIs on NEAR.,https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/sharddog.jpg,"Dapp, NFT",1700812969,mainnet,0,sharddog
potlock,POTLOCK,PotLock is bringing public goods funding legos to NEAR—direct donations & on-chain referrals built on Web3 social.,https://indexer.nearcatalog.org/wp-content/uploads/2025/07/POTLOCK.jpg,"Dapp, Funding Node",1702637278,mainnet,0,potlock
dappradar,Dappradar,"The World's Dapp Store, home of $RADAR & the most trusted source for exploring dapp data.",https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/dappradar.jpg,"Utilities, Analytics",1700812953,mainnet,,
rubic,Rubic,Multi-Chain Swap Protocol.,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Rubic.jpg,"Dapp, Bridge, DeFi",1723339174,mainnet,,
cosmose,Cosmose,"AI-Powered Shopping, Unlock Seamless Experiences ",https://indexer.nearcatalog.org/wp-content/uploads/2024/10/Cosmose.jpg,"Dapp, AI, Loyalty",1717366495,mainnet,0,kai-ching
artemis,Artemis,"Artemis, comprising experts from firms like Ribbit, Venmo, and Blackrock, provides institutional-grade on-chain metrics, transforming blockchain data into clear insights to help anyone understand market dynamics.",https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/artemis.jpg,"Utilities, Analytics",1700812957,mainnet,,
lava-network,Lava Network,"Lava is a modular data network giving developers scalable access to any rollup or blockchain. Build whatever, wherever.",https://indexer.nearcatalog.org/wp-content/uploads/2024/11/Lava-Network.jpg,"Infrastructure, Indexer, RPC, Validator",1708047423,mainnet,0,lava
usdt,USDT,"Cryptocurrency stablecoin, launched by the company Tether Limited Inc",http://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/usdt.png,"Dapp, DeFi, Stablecoin",1718091012,mainnet,,
usdc,USDC,"USDC Stablecoin, Payments & Treasury Infrastructure.",https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/circle-usdc.png,"Dapp, DeFi, Stablecoin",1718088207,mainnet,,
near-scope-2,NEAR Scope,"Monitor account balances, staking rewards, validator uptime, and many more",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/NEAR-Scope.jpg,"Utilities, Analytics, Asset Management",1724088419,mainnet,,
defishards,DeFiShards,Empowering People By Enabling True Ownership. Your one stop DeFi x NFT platform.,https://indexer.nearcatalog.org/wp-content/uploads/2025/04/DeFiShards.jpg,"Dapp, DeFi, NFT",1706351809,mainnet,,
banyan-collective,Banyan Collective - NEAR US,Scaling NEAR Protocol in the United States,https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/banyan-collective.jpg,"Ecosystem Support, Community, Regional Hub",1700812949,mainnet,,
phoenix-bonds,Phoenix Bonds,A novel bonding mechanism built on LiNEAR Protocol.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Phoenix-Bonds.jpg,"Dapp, DeFi, Liquid Staking, Validator",1700812961,mainnet,,
playember,PlayEmber,"At PlayEmber, we transform ideas into hit games, leveraging our expertise and 100 million downloads to add Play & Earn features through Ember Coin and offer F2P game studios the technology to join our ecosystem.",https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/playember.jpg,"Dapp, Game, Mobile",1700812928,mainnet,0,playember
nearkat,Nearkat,Nearkat is a fan-meme based on NEAR's original Mascot,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Nearkat.jpg,"Other, Community, Memecoin",1727795436,mainnet,,
near-vietnam-hub,NEAR Vietnam Hub,NEAR Vietnam Regional Hub.,https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/near-vietnam-hub.jpg,"Ecosystem Support, Community, Regional Hub",1700812961,mainnet,799,near-vietnam-hub
shillgpt,ShillGPT,"If you can shill your favorite meme coin to AI, then you can shill it to the entire universe",https://indexer.nearcatalog.org/wp-content/uploads/2024/10/ShillGPT.jpg,"Dapp, AI, BOS, DeFi",1709636196,mainnet,,
meson,Meson,"Meson is the faster and safer way to execute low-cost, zero-slippage  cross-chain swaps",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Meson.jpg,"Infrastructure, EVM, Aurora, Bridge",1717064703,mainnet,,
nevermined,Nevermined,Creating the Payment Infrastructure for AI-commerce,https://indexer.nearcatalog.org/wp-content/uploads/2024/11/Nevermined.jpg,"Infrastructure, AI, Payment",1719743529,still building,,
nillion,Nillion,Humanity's first blind computer.,https://indexer.nearcatalog.org/wp-content/uploads/2024/11/Nillion.jpg,"Infrastructure, AI",1719743806,still building,,
pond,Pond,Crypto's Graph Neural Network.,https://indexer.nearcatalog.org/wp-content/uploads/2024/11/Pond.jpg,"Infrastructure, AI",1719744046,still building,,
mizu,MIZU,"MIZU is the very first synthetic open data layer. Our mission is to build an open, collaborative, and permission-less data ecosystem. #ai #web3 #opensourcedata",https://indexer.nearcatalog.org/wp-content/uploads/2024/11/MIZU.jpg,"Infrastructure, AI",1719743300,still building,,
drpc,DRPC,Decentralized RPC node provider for mutiple chains.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/dRPC.jpg,"Infrastructure, RPC",1723851777,mainnet,,
transak-5,Transak,Enable users to buy or sell crypto from your app.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/TransFi.jpg,"Utilities, On/Off-Ramp, Payment",1723851764,mainnet,,
blunt-dao,Blunt DAO,"Unlimited sesh fund, throw down starting 4/20 💨. BluntDAO is the biggest IRL onboarding movement in Web3, get validated  by an OG NEAR you. On $SOL $NEAR $BASE",https://indexer.nearcatalog.org/wp-content/uploads/2024/11/Blunt-DAO.jpg,"Dapp, Ecosystem Support, DAO",1725812436,mainnet,,
moonpay,MoonPay,Growing the crypto economy.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/MoonPay.jpg,"Infrastructure, Payment",1723851659,mainnet,,
zokshpay,ZokshPay,"Zoksh is a plug-and-play solution for all businesses. Accept payments anytime, anywhere, in any currency, Fiat or Crypto",http://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/zokshpay.jpg,"Infrastructure, Payment",1723836870,mainnet,,
nearzombies-2,NearZombies,Earn while learning.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/NearZombies.jpg,"Dapp, Education",1723741294,inactive,,
nepbot-2,NepBot,Build your NEP token-gated communities on Discord.,https://indexer.nearcatalog.org/wp-content/uploads/2024/10/NepBot.jpg,"Dapp, Bot, Community, Social",1723677772,inactive,,
pixel-tokens,Pixel Tokens,"Cryptoheroes is a blockchain game where players engage in PvE looting, trading, and forging items, battling bosses to earn PXT, with dangerous dungeons, epic raids, and weekly rewards for top performers, alongside marketplace and item improvement features.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Pixel-Tokens.jpg,"Dapp, Game",1723677759,inactive,,
raen-2,RAEN,"RAEN makes working with the NEAR blockchain more fun, collaborative, and powerful.",https://indexer.nearcatalog.org/wp-content/uploads/2024/11/RAEN.jpg,"Utilities, Developer Support, Developer Tooling",1724235370,mainnet,,
popula-2,Popula,Web3 platform for the Community Economy.,https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Popula.jpg,"Dapp, Community, Developer Tooling, Social",1723677743,inactive,,
blockchain-com,Blockchain.com,"Pioneering key infrastructure for the Bitcoin community with an explorer, API, and popular crypto wallet, driving global adoption and empowering customers in the future of finance.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Blockchain.com.jpg,"Other, CEX",1723339240,mainnet,,
dropwallet,DropWallet,Make blockchain transactions directly from telegram for free.,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/DropWallet.jpg,"Infrastructure, Wallet",1723339240,inactive,,
seracle,Seracle,Truly decentralizing L1 & L2 chain's node infrastructure with DePIN & Tokenization,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Seracle.jpg,"Infrastructure, RPC",1723339239,mainnet,,
south-pole,South Pole,"With the expertise of +1,200 team members across six continents, we work with leading organizations to achieve a low-carbon reality.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/South-Pole.jpg,"Dapp, RWA",1723339239,inactive,,
ecvm,The Earth Change Vending Machine,The Earth Change Vending Machine **(ECVM**) is a (for now fictional) mechanical device which sells a metallic form of money and prints legally-binding paper agreements to help users buy and govern the land and work required to produce all the goods and services they need.,https://ipfs.near.social/ipfs/bafkreiarm4mmyg7vin3ckt7twlqxbzibld4ss2ki4z3vmpktdamuupvkxq,"Dapp, BOS, RWA",1715637217,,,
collab-land,Collab.land,"Collab.Land empowers developers with its Discord bot for deploying miniapps and APIs for custom functionalities like website token gating, enhancing project reach and functionality with easy integration and extensive resources.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Collab.land.jpg,"Ecosystem Support, Security",1723339239,mainnet,,
bybit,Bybit,The most reliable cryptocurrency exchange.,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Bybit.jpg,"Other, CEX",1723339239,mainnet,,
pionex,Pionex,"Leading crypto exchange with AI trading bot
",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Pionex.jpg,"Infrastructure, On/Off-Ramp",1723339239,mainnet,,
bitget,Bitget,Bitget offers a comprehensive trading experience with 500+ spot trading pairs. ,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Bitget.jpg,"Infrastructure, Wallet",1723339239,mainnet,,
outlier-ventures,Outlier Ventures,We are the worlds number 1 web3 accelerator by volume of investment,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Outlier-Ventures.jpg,"Ecosystem Support, Accelerator, Funding Node",1723339239,mainnet,,
encode-club,Encode Club,"Learn, build and advance your career in emerging tech",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Encode-Club.jpg,"Ecosystem Support, Community, Developer Support, Education",1723339238,mainnet,,
databricks,Databricks,"Your Data, your AI your Future, Own them all",https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Databricks.jpg,"Ecosystem Support, AI, Developer Tooling",1723339238,mainnet,,
mirae-asset,Mirae Asset,Providing innovative investment solutions to clients worldwide,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Mirae-Asset.jpg,"Ecosystem Support, DeFi",1723339238,mainnet,,
swissborg,Swissborg,"SwissBorg is democratising wealth management by making it fun, fair, and community-centric. ",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Swissborg.jpg,"Utilities, On/Off-Ramp",1723339237,mainnet,,
bitstamp,Bitstamp,Bitstamp is pioneering a crypto exchange trusted by millions for secure trading and top-notch service since 2011.,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Bitstamp.jpg,"Other, CEX",1723339237,mainnet,,
now-wallet,NOW Wallet,Non-custodial crypto wallet,https://walletnow.app/images/logo.svg,"Other, CEX, Wallet",1736806042,,,
btse,BTSE,"Leading digital asset exchange, trusted by institutions, retail users, and first-time traders, offering innovative trading technologies and white label solutions.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/BTSE.jpg,"Other, CEX",1723339237,mainnet,,
okx,OKX,Trade Crypto like  Pro,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/OKX.jpg,"Other, CEX",1723339237,mainnet,,
token-farm,Shitzu Token Farm,Create tokens on NEAR Protocol.,https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Shitzu-Token-Farm.jpg,"Infrastructure, Developer Tooling",1723339234,mainnet,,
poloniex,Poloniex,The legendary crypto exchange since 2014,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Poloniex.jpg,"Other, CEX",1723339237,mainnet,,
defi-builder,DeFi Builder,"DeFi Builder is the first no-code Web3 dApp Builder, allowing anyone to launch a DeFi Application with 0 coding experience.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/DeFi-Builder.jpg,"Utilities, Developer Tooling",1723339237,mainnet,,
nodereal,Node Real RPC,"One-Stop Blockchain Infra Provider. Supporting NEAR,  BNBChain, ETH, Aptos, Polygon, Optimism, Arbitrum, Avalanche ",https://indexer.nearcatalog.org/wp-content/uploads/2025/05/Node-Real-RPC.jpg,"Infrastructure, RPC",1723339236,mainnet,,
opencann,opencann,Accelerating development of cannabis based therapeutics.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/opencann.jpg,"Dapp, Community, DeSci",1723339236,mainnet,,
nansen-portfolio-2,Nansen Portfolio,Track all your DeFi holdings in a single dashboard across 40+ chains.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Nansen-Portfolio.jpg,"Utilities, Asset Management",1723339236,mainnet,,
mexc,MEXC,"Centralized crypto exchange that provides access to spot, margin and futures trading.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/MEXC.jpg,"Other, CEX",1723339236,mainnet,,
pixudi,Pixudi,Pixudi is an NFT based blockchain project where a traditional race board game meets Heroes of Magic mechanics.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Pixudi.jpg,"Dapp, Game, NFT",1723339235,mainnet,,
plato-protocol,Plato Protocol,"Plato revolutionizes the food economy with Eat2Earn, rewarding verified (by receipts) food reviews to drive restaurant traffic!",https://indexer.nearcatalog.org/wp-content/uploads/2024/10/Plato-Protocol.jpg,"Dapp, Community, RWA",1723339238,mainnet,,
bitmart,BitMart,"A global trading platform offering spot, futures, and OTC trading with robust security and unmatched market depth, aiming to be the world's largest liquidity provider for digital assets.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/BitMart.jpg,"Other, CEX",1723339235,mainnet,,
ottersec,Ottersec,OtterSec is a blockchain cybersecurity firm focused on identifying and remediating critical vulnerabilities,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Ottersec.jpg,"Ecosystem Support, Security",1723339235,mainnet,,
ankr,Ankr,"Ankr, the leading Web3 infrastructure company, offers products for building, earning, gaming, and more on blockchain.",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Ankr.jpg,"Infrastructure, RPC, Validator",1723339235,mainnet,,
remitano,Remitano,"We bring the seamless crypto trading experience to you by providing simple interface, fast transaction processing and 24/7 online support.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Remitano.jpg,"Other, CEX",1723339235,mainnet,,
google-cloud,Google Cloud,"A suite of cloud computing services offering modular solutions including computing, data storage, analytics, and machine learning, complemented by management tools.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Google-Cloud.jpg,"Utilities, Developer Tooling",1723339235,mainnet,,
cypherock-wallet,Cypherock Wallet,Cypherock X1 is the World's safest hardware wallet with no seed phrase vulnerability,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Cypherock-Wallet.jpg,"Infrastructure, EVM, Wallet",1723339235,mainnet,,
coinex,CoinEx,"CoinEx, a trusted global cryptocurrency exchange, offers trading for over 900 coins including Bitcoin, Ethereum, Renzo, Tether USDT, WorldCoin, Solana, ORDI, SATS, and Avalanche, simplifying crypto trading for users worldwide.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/CoinEx.jpg,"Other, CEX",1723339235,mainnet,,
ramper,Ramper,A go-to digital wallet for easy access to Web3 with no required difficult seed phrases or private keys.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Ramper.jpg,"Utilities, On/Off-Ramp, Payment",1723339234,mainnet,,
nym,Nym,The next generation of privacy infrastructure.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Nym.jpg,"Infrastructure, Privacy",1723339234,mainnet,,
notifi-network,Notifi Network,Building the future of web3 communications and growth marketing tools,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Notifi-Network.jpg,"Utilities, Developer Tooling",1723339234,mainnet,,
1rpc-2,1RPC,Secure your blockchain interactions with zero-tracking and avoid metadata leakage.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/1RPC.jpg,"Infrastructure, RPC",1723339234,mainnet,,
guarda,Guarda,"Guarda Wallet offers a secure and user-friendly platform for managing cryptocurrencies, tokens in a non-custodial manner.",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Guarda.jpg,"Infrastructure, Wallet",1723339190,mainnet,,
bitvavo,Bitvavo,"A user-friendly and reliable trading platform with a wide variety of digital assets to buy, sell, and store.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Bitvavo.jpg,"Other, CEX",1723339190,mainnet,,
bitfinex,Bitfinex,"A leading digital asset trading platform since 2012, offering advanced trading features, peer-to-peer financing, OTC markets, and margin trading for professional traders and global liquidity providers.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Bitfinex.jpg,"Other, CEX",1723339190,mainnet,,
htx,HTX,"HTX, established in China in 2013, is a global digital asset exchange operating in over 100 countries with a daily trading volume surpassing $4 billion.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/HTX.jpg,"Other, CEX",1723339190,mainnet,,
safepal-2,SafePal,"The Only Wallet with Hardware, Mobile, Extension & Backed by Binance.",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/SafePal.jpg,"Infrastructure, Wallet",1723339190,mainnet,,
kraken,Kraken,"Kraken is your bridge to the world of crypto. Spot, Futures, Margin, NFTs, Staking & OTC.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Kraken.jpg,"Other, CEX",1723339189,mainnet,,
near-africa,Near Africa,Bring NEAR collaboration with Africa community ,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Near-Africa.jpg,"Ecosystem Support, Community",1723339189,mainnet,,
nearchan-2,NEARchan,Bring NEARchan to life with community input and artist commissions.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/NEARchan.jpg,"Dapp, Community, NFT",1723339189,mainnet,,
okx-wallet-2,OKX Wallet,Your portal to Web3 Crypto wallet.,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/OKX-Wallet.jpg,"Infrastructure, Wallet",1723339189,mainnet,,
jump-defi-2,Jump DeFi,The first one-stop decentralized finance platform on NEAR.,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Jump-DeFi.jpg,"Dapp, DEX, Launchpad",1723339189,mainnet,,
immunefi,Immunefi,The leading bug bounty platform for blockchain with the world's largest bug bounties.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Immunefi.jpg,"Ecosystem Support, Bounty",1723339183,mainnet,,
alibaba-cloud,Alibaba Cloud,Alibaba Cloud provides reliable and secure cloud computing and data processing capabilities as a part of its online solutions.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Alibaba-Cloud.jpg,"Ecosystem Support, Service Provider",1723339183,mainnet,,
crypto-com,Crypto.com,"Crypto.com, trusted by over 80 million customers worldwide, leads in regulatory compliance and security, striving for cryptocurrency adoption through innovation, with a vision of Cryptocurrency in every wallet, fostering a fairer digital ecosystem.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Crypto.com.jpg,"Other, CEX",1723339183,mainnet,,
relayz,Relayz,Hyper-Secure Communications for Web3 with Quantum Resistant End-to-End Encryption and Decentralized Identity (DID).,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Relayz.jpg,"Dapp, Productivity Tool",1723339183,inactive,,
near-academy,NEAR Academy,Free Interactive course for Web2 developers to fast entry into the NEAR.,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/NEAR-Academy.jpg,"Other, Developer Support, Education",1723339179,inactive,,
lyrik-ventures,Lyrik Ventures,"Backing Early Stage NEAR Ecosystem Projects, Protocols, Startups, and dApps.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Lyrik-Ventures.jpg,"Ecosystem Support, Funding Node",1723339179,mainnet,,
ample,Ample Protocol,"Ample ($AMPLE) is a revolutionary Intellectual Property Protocol designed to enhance IP distribution and monetization through cross-chain integration, decentralized liquidity, and multi-platform access, transforming traditional IP markets.",https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Ample-Protocol.jpg,"Dapp, Marketplace, Music",1723339178,mainnet,,
bungee,Bungee,"Seamlessly transfers assets across chains, unifying liquidity and optimizing swaps through advanced routing.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Bungee.jpg,"Infrastructure, Bridge",1723339178,mainnet,,
scamfari,Scamfari,Uncover Fraud and Get Rewarded,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Scamfari.jpg,"Ecosystem Support, Security",1723339178,mainnet,,
synapse-protocol,Synapse Protocol,Cross chain bridge,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Synapse-Protocol.jpg,"Infrastructure, EVM, Aurora, Bridge",1723339178,mainnet,,
blockpi,BlockPi,Solving the RPC requests congestion problem with infinite scalability.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/BlockPi.jpg,"Infrastructure, RPC",1723339178,mainnet,,
binance,Binance,"Leading blockchain infrastructure provider and largest digital asset exchange, empowering millions with a diverse portfolio of crypto products and services.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Binance.jpg,"Other, CEX",1723339178,mainnet,,
activelink,Activelink,"Activelink specializes in constructing decentralized commerce spaces for corporations, organizations, and creators, facilitating independent digital economies powered by experiential content and digital assets, with subscription-based hosting and transaction fees.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Activelink.jpg,"Ecosystem Support, Service Provider",1723339178,mainnet,,
dia,DIA,Customizable Oracle for Web3,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/DIA.jpg,"Infrastructure, Developer Tooling",1723339177,mainnet,,
dev3,Dev3,"Open source framework, enabling Web2 developers to easily build EVM powered applications on 10+ blockchain networks.",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Dev3.jpg,"Utilities, EVM, Developer Tooling",1723339177,mainnet,,
coinstats,CoinStats,"CoinStats offers a comprehensive platform for tracking and managing crypto, DeFi, and NFTs, with integrated buying, swapping, and earning functionalities.",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/CoinStats.jpg,"Utilities, EVM, Asset Management, Aurora",1723339177,mainnet,,
aurora-2,Aurora+,New membership program for Aurora.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Aurora.jpg,"Infrastructure, Aurora",1723339177,mainnet,,
cookbook,Cookbook,"The smart contract hub where you find, deploy, and collaborate on EVM contracts with audits, documentation, and usage, all managed from a user-friendly interface.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Cookbook.jpg,"Utilities, Developer Tooling",1723339177,mainnet,,
pad-fi-ex-nearpad,Pad.fi (ex-NearPad),DEX and Launchpad on Near and Aurora,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Pad.fi-ex-NearPad.jpg,"Dapp, Launchpad",1723339177,inactive,,
fractal-2,Fractal,Empowering and incentivizing users & businesses to exchange data in a privacy-preserving way.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Fractal.jpg,"Ecosystem Support, Compliance, Security, Zero Knowledge",1723339176,mainnet,,
aurora-community-tip-bot,Aurora Community Tip bot,Aurora tipbot on telegram.,https://indexer.nearcatalog.org/wp-content/uploads/2024/10/Aurora-Community-Tip-bot.jpg,"Utilities, Bot, Community, Payment",1723339176,mainnet,,
chainge,Chainge,Find. Bridge. Store. Swap. ,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Chainge.jpg,"Infrastructure, EVM, Aurora, Bridge, Cross-chain",1723339176,mainnet,,
talentum-2,Talentum,"Web3 platform for connecting talents and startups, helping them achieve high performance by providing tools for transparent and efficient workflows.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Talentum.jpg,"Ecosystem Support, Community, Social",1723339176,mainnet,,
nada-bot,nada.bot,Sybil contract aggregator on NEAR built on NEAR powered by potlock.,https://indexer.nearcatalog.org/wp-content/uploads/2024/10/nada.bot.jpg,"Ecosystem Support, Bot, Security",1723339176,mainnet,,
rocket-x,Rocket X,"The Mega DEX, Swap any token, to any chain, ultra-fast, always at the absolute best price. Over 150 chains integrated!",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Rocket-X.jpg,"Other, Bridge, CEX, DEX",1723339176,mainnet,,
